@relation features

@attribute MEAN_103_0 numeric
@attribute VARIANCE_103_0 numeric
@attribute class {moving,nonmoving,not_in_pocket}

@data
12.237154,25.136244,moving
11.801116,30.809589,moving
11.430932,27.728458,moving
11.384136,31.807402,moving
11.243543,25.777413,moving
11.742677,26.464966,moving
12.519465,25.862957,moving
12.272157,27.264483,moving
12.597822,24.697953,moving
12.507476,23.644692,moving
12.142074,26.501858,moving
12.036877,23.162581,moving
11.73899,29.865595,moving
11.407441,26.071977,moving
11.192379,28.474596,moving
11.084961,25.954326,moving
10.885232,27.126895,moving
11.802996,26.1904,moving
11.900791,26.693692,moving
12.534811,24.43186,moving
12.169592,27.929761,moving
11.86613,30.644994,moving
11.521643,26.780393,moving
11.796475,30.077079,moving
11.335699,25.822687,moving
11.545763,26.590893,moving
12.0689,23.269085,moving
12.002917,24.526307,moving
12.720571,25.093275,moving
12.021423,28.067016,moving
12.366479,27.287897,moving
12.364408,27.956698,moving
12.032344,28.075932,moving
11.801989,25.734677,moving
11.892307,28.027413,moving
10.898638,24.495281,moving
10.879403,27.470146,moving
9.391762,0.004367,nonmoving
9.411181,0.001097,nonmoving
9.420282,0.00197,nonmoving
9.420642,0.002126,nonmoving
9.422986,0.002111,nonmoving
9.41734,0.001164,nonmoving
9.416207,0.001139,nonmoving
9.412891,0.001285,nonmoving
9.409736,0.001171,nonmoving
9.403517,0.001346,nonmoving
9.405508,0.001775,nonmoving
9.407006,0.001999,nonmoving
9.404137,0.001754,nonmoving
9.404877,0.000798,nonmoving
9.40574,0.000578,nonmoving
9.41135,0.000644,nonmoving
9.412404,0.00073,nonmoving
9.416563,0.000787,nonmoving
9.415125,0.000603,nonmoving
9.419316,0.000502,nonmoving
9.410714,0.000547,nonmoving
14.633539,23.245101,moving
14.973261,22.558001,moving
15.312543,22.209826,moving
15.494726,26.951098,moving
16.591048,20.809539,moving
15.491116,26.152327,moving
15.793476,28.777283,moving
14.316689,26.93846,moving
14.568482,25.759325,moving
15.129628,30.304736,moving
14.58242,30.871769,moving
15.525446,22.040897,moving
15.465232,24.481638,moving
15.873102,35.127664,moving
15.345532,32.330212,moving
15.859167,29.376846,moving
16.953149,32.528541,moving
16.415622,31.933335,moving
16.553159,28.369492,moving
16.727471,30.608885,moving
17.354623,38.495696,moving
15.98273,38.537783,moving
16.379921,30.118125,moving
16.822792,35.665798,moving
16.06282,35.731515,moving
16.704002,29.895693,moving
16.726838,30.874507,moving
16.525232,40.369863,moving
16.080822,34.058517,moving
16.324918,30.273648,moving
17.302972,31.808933,moving
16.252458,29.095654,moving
16.971421,25.603476,moving
16.785009,24.679365,moving
16.228966,29.819736,moving
16.173327,22.622181,moving
15.968416,24.077697,moving
16.070312,32.721909,moving
15.71986,28.851824,moving
15.52386,31.740271,moving
16.466815,37.163041,moving
15.746375,31.938166,moving
16.132286,29.045545,moving
17.083792,29.060557,moving
15.726802,30.624944,moving
16.287842,25.647586,moving
16.425697,27.988538,moving
9.428283,0.00067,nonmoving
9.427873,0.000697,nonmoving
9.419683,0.001135,nonmoving
9.421065,0.001628,nonmoving
9.422816,0.001844,nonmoving
9.426934,0.001145,nonmoving
9.429075,0.0009,nonmoving
9.426211,0.000737,nonmoving
9.425112,0.000839,nonmoving
9.418616,0.000872,nonmoving
9.420655,0.000944,nonmoving
9.416365,0.000878,nonmoving
9.419293,0.001331,nonmoving
9.424337,0.001211,nonmoving
9.424936,0.001353,nonmoving
9.425517,0.000912,nonmoving
9.416485,0.000981,nonmoving
9.41701,0.001335,nonmoving
9.420223,0.001536,nonmoving
9.421815,0.001329,nonmoving
9.41721,0.001492,nonmoving
9.425126,0.001177,nonmoving
9.423976,0.001102,nonmoving
9.429141,0.000925,nonmoving
9.430335,0.000697,nonmoving
9.429582,0.000757,nonmoving
9.427827,0.000861,nonmoving
9.422859,0.000952,nonmoving
9.423908,0.001517,nonmoving
9.418007,0.001884,nonmoving
9.422205,0.001614,nonmoving
10.020304,5.943382,moving
10.011529,8.413245,moving
10.22599,10.217006,moving
10.251228,10.142227,moving
9.688193,13.962625,moving
9.806449,9.678067,moving
10.36107,10.281996,moving
10.200738,9.858466,moving
9.869665,7.337663,moving
9.210092,10.254828,moving
9.965265,10.823736,moving
10.608455,10.932229,moving
10.256386,14.594277,moving
10.043589,9.750512,moving
9.75801,12.871065,moving
10.051945,10.073868,moving
10.670134,9.670014,moving
10.035167,12.807358,moving
9.760656,8.890938,moving
9.708006,12.506235,moving
10.016172,9.243357,moving
10.503179,10.213741,moving
10.085103,11.940586,moving
9.873583,8.030974,moving
10.089405,10.969708,moving
10.345351,11.589824,moving
10.524904,10.467716,moving
9.676249,14.997014,moving
9.837039,9.572516,moving
9.963641,14.913356,moving
10.317452,13.669653,moving
10.620334,12.928668,moving
9.704058,18.027386,moving
10.045667,12.839475,moving
10.116626,16.529211,moving
10.447346,12.825387,moving
10.792491,12.380842,moving
9.871131,17.959716,moving
10.003132,11.964006,moving
9.838403,15.409114,moving
10.272826,13.116925,moving
10.552274,11.67524,moving
9.840053,16.775154,moving
10.065466,11.552169,moving
9.89957,17.295228,moving
10.338099,15.14659,moving
10.780257,13.428508,moving
9.982043,17.655585,moving
9.905266,11.377418,moving
9.701292,17.046714,moving
10.205985,13.741663,moving
10.812238,14.758585,moving
10.042474,18.835851,moving
10.202497,13.294354,moving
9.933918,20.201543,moving
9.981967,13.217384,moving
10.443866,15.31188,moving
10.220017,15.181715,moving
10.247101,12.690416,moving
9.829152,18.134941,moving
10.03444,13.313952,moving
10.369942,17.838692,moving
10.517024,16.631825,moving
11.175745,23.981344,moving
12.375777,27.299849,moving
11.952734,21.168836,moving
12.700688,22.880881,moving
12.071821,18.519101,moving
12.457026,20.586135,moving
11.876426,16.760406,moving
12.489501,20.227355,moving
12.0296,17.41534,moving
12.390135,20.199562,moving
11.619034,18.009975,moving
12.165758,23.125817,moving
11.903164,22.009576,moving
12.644181,23.542733,moving
11.911056,22.383377,moving
12.0218,24.35319,moving
11.258655,22.444277,moving
11.854165,23.106967,moving
11.47326,19.210199,moving
13.009102,21.040956,moving
12.518677,19.212983,moving
12.779342,22.717513,moving
12.000803,21.360887,moving
12.118655,21.933216,moving
11.635087,17.409017,moving
12.021924,20.470164,moving
11.573104,16.525657,moving
12.066014,20.27239,moving
11.668299,16.413866,moving
12.37093,20.984336,moving
11.976472,18.566571,moving
12.68928,21.978808,moving
12.311806,20.192237,moving
12.682837,22.456618,moving
11.868473,21.4991,moving
12.259116,24.615238,moving
11.802795,21.812473,moving
12.387375,23.291194,moving
11.460208,21.286667,moving
11.718345,24.234105,moving
11.069248,20.381339,moving
11.833877,22.839212,moving
11.35273,19.302834,moving
12.034746,21.444082,moving
11.328754,16.74405,moving
12.200158,20.640579,moving
11.545359,18.406124,moving
12.166971,21.989743,moving
11.907324,19.198161,moving
12.178562,22.554811,moving
11.884628,20.243938,moving
12.078191,22.805382,moving
11.721318,17.872999,moving
12.387023,22.276311,moving
11.834775,18.907096,moving
12.185146,22.580792,moving
11.641106,20.031477,moving
12.340361,22.548165,moving
12.374531,22.052406,moving
12.802634,24.008925,moving
12.795084,22.94728,moving
12.48062,26.254436,moving
13.366526,26.625721,moving
12.983784,30.78288,moving
12.853727,31.172398,moving
12.739131,29.097733,moving
12.192463,28.020137,moving
12.166822,22.213102,moving
12.295432,26.124796,moving
11.95864,23.418368,moving
11.733245,25.304681,moving
12.468346,25.570121,moving
12.29488,27.465838,moving
13.126862,24.256305,moving
13.113462,24.217446,moving
12.535404,29.427342,moving
