@relation features

@attribute MEAN_105_0 numeric
@attribute MEAN_105_1 numeric
@attribute VARIANCE_105_0 numeric
@attribute VARIANCE_105_1 numeric
@attribute MEAN_106_0 numeric
@attribute MEAN_106_1 numeric
@attribute VARIANCE_106_0 numeric
@attribute VARIANCE_106_1 numeric
@attribute VARIANCE_6_0 numeric
@attribute class {slow_walking,fast_walking,slow_running,fast_running,upstairs,downstairs}

@data
13.051419,-0.469176,32.686759,13.055742,2.888096,-0.004006,2.336118,4.387942,0.052407,slow_running
12.626511,-0.700756,32.933563,11.963546,2.64542,-0.036525,1.588742,4.081136,0.045716,slow_running
12.275126,-0.909574,30.165619,12.754859,2.501579,-0.044886,1.394709,3.765958,0.036753,slow_running
12.104921,-1.139277,29.821994,12.641629,2.549781,-0.028415,1.39474,3.769828,0.025058,slow_running
12.168246,-1.156043,28.369,11.817557,2.519789,0.016642,1.267553,3.488461,0.019333,slow_running
12.200024,-1.154396,28.92286,9.438897,2.379838,-0.122696,1.073667,3.430951,0.018135,slow_running
12.126622,-1.440106,29.972143,8.707055,2.333837,-0.117378,1.051778,3.302967,0.01707,slow_running
12.418554,-0.703611,30.646107,11.755391,2.540033,-0.22409,1.035412,2.893731,0.01835,slow_running
11.320357,-1.224157,37.240121,15.431841,2.746991,-0.153704,1.239697,3.254215,0.020029,slow_running
10.951853,-0.91773,33.917897,13.637978,2.614486,-0.058529,1.236368,2.948171,0.020104,slow_running
11.055757,-1.236912,34.102143,11.264247,2.630367,-0.094774,0.911783,3.453143,0.021291,slow_running
11.736734,-1.142467,34.785634,10.757228,2.494142,0.009139,0.96115,3.368869,0.021783,slow_running
12.020362,-0.703199,33.25257,15.481496,2.512094,0.001008,0.906333,4.128794,0.0211,slow_running
11.742585,-0.543205,33.936239,16.199516,2.232645,0.020524,0.879032,3.938198,0.020322,slow_running
11.438242,-0.300286,31.809,16.699595,2.097254,0.005857,0.827508,3.790698,0.018784,slow_running
11.101327,-1.09517,28.660596,16.420789,1.99453,-0.172209,0.639215,3.310157,0.017468,slow_running
11.337472,-1.039084,31.175193,15.279661,2.164038,-0.142996,0.723789,3.62386,0.014065,slow_running
11.132667,-1.087297,32.36388,15.145683,2.198784,-0.151952,0.633521,3.607417,0.017462,slow_running
11.145097,-1.005937,34.084023,11.994717,2.232044,-0.107928,0.968343,3.417977,0.019621,slow_running
11.07705,-0.813963,32.107385,11.186995,2.094653,0.029666,0.903017,3.125212,0.01745,slow_running
11.248782,-0.969661,33.300158,11.660521,2.041906,-0.084275,0.887556,2.982326,0.016561,slow_running
11.678497,-1.255867,32.487783,10.652079,1.932354,-0.010454,0.511348,3.358032,0.015066,slow_running
11.826303,-1.142465,31.311622,10.072526,1.870512,0.052364,0.523839,3.380535,0.012355,slow_running
11.622,-1.153053,32.404446,8.602175,1.782371,0.078202,0.49998,3.353204,0.009403,slow_running
11.188949,-1.032003,30.23926,10.553976,1.799385,0.054318,0.548617,3.127123,0.009516,slow_running
11.033163,-0.877347,29.106006,12.738214,1.987529,-0.105901,0.614257,2.949227,0.013075,slow_running
11.446139,-1.044794,31.547914,14.013544,2.148294,-0.065074,0.738889,3.512021,0.016225,slow_running
11.714602,-0.942185,30.514665,13.335631,2.313441,0.00526,0.932816,3.678861,0.017556,slow_running
11.814769,-0.757692,30.444695,12.431074,2.318531,0.042053,1.015757,3.746319,0.019707,slow_running
11.716436,-0.80526,31.977975,12.871451,2.196462,0.068941,1.009747,3.4765,0.016433,slow_running
11.546025,-0.638494,31.789708,11.603011,2.250556,-0.095662,1.13494,3.096717,0.021255,slow_running
11.729806,-0.589686,33.611086,10.713476,2.282403,0.03614,1.032453,3.425139,0.01467,slow_running
11.548621,-0.518627,32.610167,9.458924,2.420268,-0.03638,0.883148,3.353209,0.023437,slow_running
11.807214,-0.269181,30.738881,9.603119,2.306187,0.002331,0.874157,3.231988,0.02524,slow_running
11.898088,-0.499616,28.825277,11.070883,2.284042,0.036783,0.718887,3.15226,0.024184,slow_running
11.737957,-0.808309,27.905048,11.406332,2.187133,-0.147329,0.698823,2.803341,0.018959,slow_running
11.547136,-0.778292,32.23492,12.129148,2.149453,0.021477,0.735465,3.140769,0.014649,slow_running
11.434321,-0.817131,32.3157,12.548041,2.269906,-0.133177,0.652988,2.985804,0.02158,slow_running
11.710135,-0.823808,31.663347,13.001429,2.279844,-0.090017,0.685761,3.058151,0.023501,slow_running
11.959976,-0.704032,30.38294,13.489325,2.191304,0.02275,0.635179,3.070558,0.026554,slow_running
11.518312,-0.957758,33.419278,13.162339,2.090353,-0.08119,0.596912,3.282991,0.02446,slow_running
11.192308,-0.466003,33.941327,10.824076,1.91339,0.019433,0.393418,3.3865,0.023863,slow_running
11.617513,-0.772238,37.235933,9.893388,1.958585,-0.266891,0.365061,3.275856,0.018321,slow_running
11.915665,-1.175638,34.908256,8.448904,2.067812,-0.130195,0.305433,3.028766,0.013598,slow_running
12.070308,-0.463632,35.653767,10.631519,2.286334,-0.163595,0.269026,2.660981,0.017674,slow_running
11.272203,-0.578997,41.524351,10.596933,2.35128,-0.077216,0.482595,2.466427,0.030739,slow_running
